vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
0005a6d3-a820-4338-96d6-fe0a083b9fd3,1/5/2023 11:26,21.713971480697047,76.05965793,789.7081377545749,407.9891983,789,6.353101410991258,0.1282011911067083,network,low,completed
0051d1f3-c925-4c0c-9aae-181339fc52ef,6/6/2023 3:58,69.03677657783479,16.881877742514884,630.9690854754175,145.97416902589077,7070,44.08371469,0.9915580149039982,io,medium,completed
00e822d6-34ec-4cf3-acc5-06e3f5f84caa,2/14/2023 13:55,7.578927026,35.402554371707126,380.4099232083407,45.738798790835645,9591,,0.1184689067673947,network,high,waiting
022b188b-7feb-4b93-b2d9-3dd3dbaff207,7/14/2023 1:19,98.41703275203528,18.70979137110107,875.8367650508411,385.9655134176425,9407,62.218327738656576,,network,,
02d510a2-ac79-476e-ace1-449a0b3130fc,1/12/2023 3:38,35.881957579813694,12.408631024199943,786.9411429152892,147.58090361732812,154,90.99244924444314,0.2928824138783686,compute,high,
02dee0c3-46eb-4341-b33e-027aa2a26716,6/17/2023 10:05,95.98016804165536,0.1421211666856381,679.6324464891345,,7623,25.193698828709167,0.6804342430687128,compute,,completed
02f310ae-3de2-4c23-8024-9891ee4f396a,7/12/2023 20:17,76.57721799363358,86.87040448,,266.28199369891735,,90.36657893,0.8076831579498116,,high,running
031c89d5-5758-4402-b732-74134f6555cb,1/24/2023 9:28,23.312597418245872,86.70679449,,251.37639238952315,4576,,0.8828614587965216,io,medium,completed
033efb29-553f-4e05-92d9-005a7d4e2bc4,4/13/2023 23:18,76.45621064849949,58.23414852739717,699.2177291198655,,,9.052602211916485,0.7943112302457918,io,high,running
034326c4-9ed0-4c92-aaf1-c2e58d3e0c13,3/31/2023 18:21,79.01295457573745,49.03912506796513,874.3130871758577,356.6696394204154,6348,68.19034971681424,0.8208398493683176,,high,running
0359d7cb-75f7-40bc-855a-2568137770f3,1/6/2023 4:55,31.91631185706456,69.50026575409431,373.2642576871622,258.45131620125585,1949,92.18692841148516,,network,high,waiting
038eabf7-6afb-4fab-9479-53abba913bf7,6/14/2023 12:59,78.02861503807942,99.38905008659552,714.8722186983988,,9125,,,compute,medium,completed
0435f6e8-431b-4c98-a32d-9f4f89bef1b6,4/23/2023 7:19,73.94035148683135,70.86596878761586,32.41265945859484,44.34162350275306,2158,10.129371888184956,0.3787216837549628,compute,low,running
0442d61e-c0f3-45ea-b61e-fb143f32a7bc,6/15/2023 6:47,87.69871273031441,,391.9293302092303,235.8392025,8270,92.17443771,,network,low,waiting
045e8ac7-e904-4d79-8271-8f133ee5ce5f,6/28/2023 4:06,85.35907265,41.318253202068114,504.3547506,39.963317460069256,8246,43.71604473400341,0.6955047244313097,compute,high,waiting
0487c3c9-14f3-4c7c-94f3-03111d869458,3/4/2023 17:40,59.322725140672205,7.660367645324007,899.1588004491466,163.3651127726682,4135,94.99670766,0.3645323822272497,network,medium,completed
04b054b4-b37e-4d36-aa9d-62b1e2f09d0c,4/5/2023 9:43,98.00306763,73.59340755640845,905.6941764840724,,4193,7.872735139988151,0.9689665101354686,io,high,
05d038d4-2ae2-4ea2-a8ed-c3a643b6d92b,5/30/2023 2:47,63.34289610178172,16.826754110927567,228.49041663269756,478.2084976264732,107,3.215598947580167,0.1483416153175536,io,low,running
061e12e7-9a11-4934-952b-5578cc059f76,5/29/2023 20:34,51.81904427908207,52.17450003598034,540.1806822655427,267.2984832867995,4499,31.743229046047027,0.3343843084570983,io,,waiting
066774c7-28fb-427b-a9ce-73d6188fbfb6,1/3/2023 17:52,67.90133288011508,78.74918203678362,885.7994669128011,428.6482206635882,8262,80.67024150987163,0.2438311755718384,compute,medium,running
06a77920-41c0-4276-80e1-7d2a737772ff,1/15/2023 14:57,28.81522711244029,96.84453966999376,248.12426126944044,333.90112701140936,6355,20.896627008946457,,compute,high,running
06c1daac-24f0-4a0f-8070-0fa4f1c7b6ff,2/8/2023 19:52,78.42194015681794,15.925602063815491,544.8222159941994,15.177911071248053,9735,56.12298730806076,,,medium,completed
070b69ea-66a6-4213-8cba-3fecf168ca33,1/26/2023 11:56,80.95941666306557,4.277870615330404,847.9430800967765,225.2416648600777,8976,10.911638044699467,0.1534338139724385,network,medium,waiting
070c299b-cba1-4ecb-b62a-f744cbeabfd1,3/31/2023 14:27,86.47363149618043,99.43534612693054,227.2448314858152,376.4601557181663,4826,99.53355186394388,0.784240049,io,low,
0733b57f-efdd-4a55-bbe4-288a50ebdb51,7/13/2023 14:49,2.2632409312638546,99.37905514173404,234.01583947251825,481.4938698011839,5119,36.878068118284446,0.816754713,network,,completed
0750e990-bf50-4f4e-ba04-4bed9c81dd12,5/29/2023 18:17,33.02511286114081,39.86956936707018,254.16513647332795,243.9022823723375,,1.6465602100133814,0.6458925113272186,io,high,completed
079827ab-663d-4d45-95a8-fb1f1b3d733b,6/30/2023 16:48,44.40762449770299,53.53238648927236,333.2186152734935,447.4678774147639,5272,2.421408785583612,0.4302654920650064,io,low,
082177b6-04b2-49c9-a45d-71750973f786,5/13/2023 8:42,50.83678428483643,46.90929994929445,948.381691,86.07307795776492,3844,34.897673902093096,0.7595293161306733,,medium,completed
08430a9e-a8a5-40e3-a3c3-3528dde49895,7/17/2023 11:29,69.66432565440667,,750.9067590701892,171.5329076530318,5698,62.23251241755061,0.6814026555041631,io,low,completed
